text,headlines
SELECT Net Power FROM table WHERE Type = wwer-440/230 AND Finish construction = 24.10.1977,"What was the net power, when the type was wwer-440/230, and when construction was finished on 24.10.1977?"
SELECT MIN Goals FROM table WHERE Ranking < 4 AND Years = 1996–13,Who had fewer goals than 4 during the years of 1996–13?
SELECT MAX Item FROM table,Return the max of the Item
SELECT Amount FROM table WHERE Name = magyar bankholding,What is the Amount where Name is Magyar Bankholding
SELECT SUM Amount FROM table WHERE Name = hhsa,Return SUM of Amount where Name is HASPA Finanzholding
SELECT Desc_country FROM table WHERE Amount = 19655.06,what is desc_country where Amount is 19655.06
"SELECT * FROM table WHERE Name = Ibercaja Banco,","Display all values where Name is Ibercaja Banco, S.A."
SELECT AVG Top-5 FROM table WHERE Tournament = totals AND Top-25 > 4,what is the top-5 when the tournament is totals and the top-25 is more than 4?
SELECT Starting Point FROM table WHERE Terminus = ecat/rosa park transit center,What is the starting point of the route that has its terminus at Ecat/Rosa Park Transit Center?
SELECT MIN NSA FROM table WHERE Amount < 10000,Display the NSA where Amount is lesser than 10000
SELECT SUM Amount FROM table WHERE Name = HSBC Bank Malta,Return SUM of Amount where Name is HSBC Bank Malta p.l.c.
SELECT Desc Country FROM table WHERE Label = Other Reserves,What is the Desc Country where Label is Other Reserves
SELECT SUM Amount FROM table WHERE Name = jyske bank,Return SUM of Amount where Name is Jyske Bank A/S
SELECT SUM Amount FROM table WHERE Name = mbg group,Return SUM of Amount where Name is MDB Group Limited
SELECT PI Code FROM table WHERE Area = hindhead,What is the PI code in the hindhead area?
SELECT Main cast seasons FROM table WHERE Portrayed by = joe jonas,Which main cast seasons were portrayed by Joe Jonas?
SELECT SUM Amount FROM table WHERE Name = sberbank european,Return SUM of Amount where Name is Sberbank Europe AG
SELECT SUM Amount FROM table WHERE NSA = BG,Show Amount where NSA is BG
SELECT MAX Amount FROM table,Return the max of the Amount
SELECT Desc Country FROM table WHERE Label = Funds for General Banking Risk,Display Desc Country where Label is Funds for general banking risk
SELECT SUM Amount FROM table WHERE Name = HSBC Bank Malta,What is the SUM of Amount where Name is HSBC Bank Malta p.l.c.
SELECT MIN Top-25 FROM table WHERE Events < 17 AND Top-5 > 0,what is the lowest top-25 when the events is less than 17 and top-5 is more than 0?
SELECT Event FROM table WHERE Round = 1 AND Time = 3:02,What event ended in 3:02 of round 1?
SELECT Country FROM table WHERE Item = 2121001,Get the country where Item is 2121001
SELECT COUNT First Elected FROM table WHERE Counties Represented = baltimore county AND District = 06.0 6 AND Committee = economic matters,"What is the total number of First elected that has a country represented in Baltimore county, a district of 06.0 6, and a committee of economic matters?"
SELECT SUM Amount FROM table WHERE Name = HSBC Bank Malta,Display the  SUM of Amount where Name is HSBC Bank Malta p.l.c.
SELECT Finrep FROM table WHERE Label = COMMON EQUITY,What is the Finrep where Label is COMMON EQUITY TIER 1 CAPITAL
SELECT Desc_country FROM table WHERE Amount = 19655.01,what is desc_country where Amount is 19655.01
"SELECT Score FROM table WHERE Attendance = 39,446","What was the Score that has an Attendance of 39,446?"
SELECT SUM Amount FROM table WHERE Name = landsbankinn,What is the SUM of Amount where Name is Landsbankinn hf.
SELECT Country FROM table WHERE Item = 2121006,Get the country where Item is 2121006
SELECT Chassis FROM table WHERE Engine = ford v8 AND Year < 1976 AND Points = 12,"Before 1976 and with 12 points, what chassis did the Ford V8 have?"
SELECT MAX Ranking FROM table WHERE Years = 1996–13 AND Goals > 17,"Who has the highest ranking from  1996–13, and more than 17 goals?"
SELECT SUM Amount FROM table WHERE Name = kbc ,Display the  SUM of Amount where Name is KBC Groep
SELECT 2006 FROM table WHERE 2010 = 27,Name the 2006 when the 2010 is 27
SELECT SUM Amount FROM table WHERE Name = kutxa,"What is the SUM of Amount where Name is Kutxabank, S.A"
SELECT SUM Amount FROM table WHERE Name = magyar bankholding,Return SUM of Amount where Name is Magyar Bankholding
SELECT MAX Fastest time (s) FROM table WHERE Location = enugu AND Rank > 2,"What is the top fastest time, larger than 2, in Enugu?"
SELECT Desc Country FROM table WHERE Label = Accumulated Other Comprehensive,Locate values of Desc Country where Label is Accumulated other comprehensive income
SELECT Lost FROM table WHERE Points for = 208,How many losses were there with 208 points?
SELECT Desc Country FROM table WHERE Label = Funds for General Banking Risk,Return the values of Desc Country where Label is Funds for general banking risk
SELECT SUM Amount FROM table WHERE Name = j.p.,What is the SUM of Amount where Name is J.P. Morgan AG
SELECT SUM Amount FROM table WHERE Name = kutxa,"Display the  SUM of Amount where Name is Kutxabank, S.A"
SELECT AVG 1980s FROM table WHERE 1910s = 1912 AND 1940s < 1942,"What is the range for the 1980s that correspond to a grid 1910s of 1912, and a 1940s before 1942"
SELECT SUM Amount FROM table WHERE Name = nordea bank ab,What is the SUM of Amount where Name is Nordea Bank Abp
SELECT Label FROM table WHERE Amount = -10000,Display the Label where Amount is -10000
SELECT Host Team FROM table WHERE Visiting Team = new england patriots,Which host team played against the New England Patriots?
SELECT SUM Amount FROM table WHERE Name = landsbankinn,Display the  SUM of Amount where Name is Landsbankinn hf.
"SELECT Opponent FROM table WHERE Attendance > 23,230 AND Record = 56-37","Who was the opponent in the game where the attendance was larger than 23,230 and the record was 56-37?"
SELECT Entrant FROM table WHERE Year < 1958 AND Chassis = cooper t43,Who is the entrant with a cooper t43 chassis before 1958?
SELECT * FROM table WHERE Label = (Depreciation),Show all data where Label is (Depreciation)
SELECT Character FROM table WHERE Portrayed by = joe jonas,What character is portrayed by Joe Jonas?
SELECT Amount FROM table WHERE LEI_Code = 0W20W2PZJM8XOY22M4GG888,Value of Amount where LEI_Code is 0W2PZJM8XOY22M4GG888
SELECT Desc Country FROM table WHERE Label = TOTAL RISK E,What is the Desc Country where Label is TOTAL RISK EXPOSURE AMOUNT
SELECT Desc Country FROM table WHERE Label = Transitional adjustments,Locate the values of Desc Country where Label is Transitional adjustments
SELECT Award FROM table WHERE Category = choice tv: breakout star female,What is the award for the Choice TV: Breakout Star Female category?
SELECT SUM Amount FROM table WHERE Name = cibank holding,Return SUM of Amount where Name is Citibank Holdings Ireland Limited
"SELECT Loss FROM table WHERE Attendance = 17,675","What Loss had an Attendance of 17,675?"
SELECT AVG First Elected FROM table WHERE District = 11 AND Committee = environmental matters,What is the average first elected year that has a district of 11 and a committee of environmental matters?
SELECT SUM Amount FROM table WHERE Name = state street european holdings,Display the  SUM of Amount where Name is State Street Europe Holdings Germany S.a.r.l. & Co. KG
SELECT MAX Period FROM table,Return the max of the Period
SELECT Label FROM table WHERE Amount > 10000,Display the Label where Amount is greater than 10000
SELECT SUM Amount FROM table WHERE Name = akciju,"Display the  SUM of Amount where Name is Akciju sabiedriba ""Citadele banka"""
SELECT SUM Amount FROM table WHERE Name = lsf ,What is the SUM of Amount where Name is LSF Nani Investments S.Ã  r.l.
SELECT SUM Amount FROM table WHERE Name = bawag group,Return SUM of Amount where Name is BAWAG Group AG
SELECT Nationality FROM table WHERE Goals = 14,Which nation had 14 goals?
SELECT SUM Amount FROM table WHERE Name = bank polska ,What is the SUM of Amount where Name is Bank Polska Kasa Opieki S.A.
SELECT MIN NSA FROM table WHERE Amount > 10000,Display the NSA where Amount is greater than 10000
SELECT Nationality FROM table WHERE Name = hamzah idris,What nationality is hamzah idris?
SELECT * from Name,Display total Name
SELECT SUM Amount FROM table WHERE Name = aLPHA SERVICES,Return SUM of Amount where Name is ALPHA SERVICES AND HOLDINGS S.A.
SELECT Result FROM table WHERE Recipient(s) = joe jonas AND Award = kids' choice awards mexico,What is Joe Jonas' result at the Kids' Choice Awards Mexico?
SELECT Drawn FROM table WHERE Tries for = 51,What was the amount of draws where a club had 51 tries for?
SELECT Name FROM table WHERE Direction = bi-directional AND Terminus = ecat/rosa park transit center,Which bi-directional route has a terminus at Ecat/Rosa Park Transit Center?
SELECT SUM Amount FROM table WHERE Name = Luminor Holding,Display the  SUM of Amount where Name is Luminor Holding AS
SELECT Amount FROM table WHERE LEI_Code = 0W2PZJM8XOY22M4GG884,Value of Amount where LEI_Code is 0W2PZJM8XOY22M4GG884
SELECT COUNT Bronze Medals FROM table WHERE Gold Medals = 2 AND Total Medals > 4 AND Silver Medals < 5,"Name the total number of bronze medals when gold medals was 2, total medals more than 4 and silver medals less than 5"
SELECT Desc Country FROM table WHERE Label = TOTAL RISK E,Display Desc Country where Label is TOTAL RISK EXPOSURE AMOUNT
SELECT SUM Amount FROM table WHERE Name = bank of valletta,Display the  SUM of Amount where Name is Bank of Valletta Plc
SELECT Name FROM table WHERE Goals = 6 AND Nationality = morocco,Who was from Morocco and scored 6 goals?
SELECT Desc Country FROM table WHERE Label = Tier 2 Capital instruments,What is the Desc Country where Label is Tier 2 Capital instruments
SELECT Desc Country FROM table WHERE Label = (-) Amount exc,What is the Desc Country where Label is (-) Amount exceding the 17.65% threshold
SELECT Date FROM table WHERE Record = 46-29,When was the game played in which the record was 46-29?
SELECT SUM # of episodes FROM table WHERE Character = nick lucas,How many episodes had the character of Nick Lucas?
SELECT SUM Amount FROM table WHERE Name = lsf ,Display the  SUM of Amount where Name is LSF Nani Investments S.Ã  r.l.
SELECT COUNT LEI_Code FROM table,what is the number of values in LEI_Code
SELECT Desc Country FROM table WHERE Label = Other Reserves,Show Desc Country where Label is Other Reserves
SELECT SUM Amount FROM table WHERE Name = cibank holding,Display the  SUM of Amount where Name is Citibank Holdings Ireland Limited
SELECT Years FROM table WHERE Authority = state AND Decile > 6 AND Roll < 33,Name the years with authority of state and decile more than 6 with roll less than 33
SELECT Country FROM table WHERE Item = 2121009,Get the country where Item is 2121009
SELECT Country FROM table WHERE Item = 2121013,Get the country where Item is 2121013
SELECT Points against FROM table WHERE Played = 22 AND Lost = 6,What is the points against for the team that played 22 and lost 6?
SELECT * FROM table WHERE Name = dekabank german Girozentrale,Display all values where Name is DekaBank Deutsche Girozentrale
SELECT SUM Amount FROM table WHERE Name = precision capital s.,Return SUM of Amount where Name is Precision Capital S.A.
SELECT SUM Amount FROM table WHERE Name = nordea bank ab,Return SUM of Amount where Name is Nordea Bank Abp
SELECT SUM Amount FROM table WHERE Name = sberbank european,What is the SUM of Amount where Name is Sberbank Europe AG
SELECT SUM Amount FROM table WHERE Name = raffeis,Return SUM of Amount where Name is Raiffeisenbankengruppe OÃ– Verbund eGen
SELECT SUM Amount FROM table WHERE Name = Erwerbsgesellschaft der S,Return SUM of Amount where Name is Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG
SELECT Desc_country FROM table WHERE Amount = 19655.03,what is desc_country where Amount is 19655.03
SELECT Desc_country FROM table WHERE Amount > 10000,Display the Desc_country where Amount is greater than 10000
SELECT Operates FROM table WHERE Terminus = downtown transit center AND Name = bayou blvd./12th avenue,Where does the Bayou Blvd./12th Avenue route that has a terminus at the downtown transit center operate?
SELECT Club FROM table WHERE Tries against = 45,Which club participated with a record of 45 tries against?
SELECT SUM Year FROM table WHERE Tournament = commonwealth games,What year was the Commonwealth Games?
SELECT SUM Amount FROM table WHERE Name = kbc ,What is the SUM of Amount where Name is KBC Groep
SELECT SUM Amount FROM table WHERE Name = Investerings,What is the SUM of Amount where Name is Investeringsmaatschappij Argenta
SELECT MAX Round FROM table WHERE Opponent = jr schumacher,What is the highest round reached by an oppo ent of JR schumacher?
SELECT Stadium FROM table WHERE Final Score = 26-24,At what stadium was the game with the final score of 26-24 played?
SELECT Country FROM table WHERE Amount < 10000,Display the Country where Amount is lesser than 10000
SELECT Loss FROM table WHERE Score = 9-1,What was the Loss that had a Score of 9-1?
SELECT SUM Amount FROM table WHERE Name = dekabank german ,Return SUM of Amount where Name is DekaBank Deutsche Girozentrale
SELECT Desc Country FROM table WHERE Label = Retained earnings,What is the Desc Country where Label is Retained earnings
SELECT Country FROM table WHERE Item = 2121003,Get the country where Item is 2121003
SELECT NSA FROM table WHERE Period = 202014,What is NSA where period is 202014
SELECT SUM Amount FROM table WHERE Name = dekabank german ,Display the  SUM of Amount where Name is DekaBank Deutsche Girozentrale
SELECT SUM Amount FROM table WHERE Name = mbg group,Display the  SUM of Amount where Name is MDB Group Limited
SELECT COUNT Top-5 FROM table WHERE Tournament = pga championship AND Events < 4,what is the total number of times the tournament was pga championship and evens is less than 4?
SELECT SUM Amount FROM table WHERE Name = jyske bank,What is the SUM of Amount where Name is Jyske Bank A/S
SELECT AVG Year FROM table WHERE Entrant = elf team tyrrell AND Points = 34,What year did Elf Team Tyrrell have 34 points?
SELECT SUM Amount FROM table WHERE Name = Investerings,Return SUM of Amount where Name is Investeringsmaatschappij Argenta
SELECT AVG Events FROM table WHERE Top-5 < 1 AND Top-25 > 1,what is the average number of events when the top-5 is less than 1 and top 25 more than 1
SELECT Desc Country FROM table WHERE Label = Adjustments to CET1,What is the Desc Country where Label is Adjustments to CET1 due to prudential filters
SELECT Drawn FROM table WHERE Tries against = 45,Where there any Draws with 45 tries against?
SELECT * FROM table WHERE Name = dekabank german Girozentrale,Display all values where Name is DekaBank Deutsche Girozentrale
SELECT AVG Ranking FROM table WHERE Nationality = saudi arabia AND Years = 2000–,What was the average ranking of Saudi Arabia in the years of 2000–?
SELECT Desc_country FROM table WHERE Amount  5236.,What are the Desc_country where Amount is less than 5236.507731
SELECT Stadium FROM table WHERE Final Score = 9-23,At what stadium was the game with the final score of 9-23 played?
SELECT MAX Amount FROM table,Display highest value from Amount
SELECT Starting Point FROM table WHERE Operates = north/south AND Name = palafox street,What is the starting point of the north/south operating Palafox Street route?
SELECT Desc_country FROM table WHERE Amount = 19655.02,what is desc_country where Amount is 19655.02
SELECT Chassis FROM table WHERE Points = 39,What chassis had 39 points?
SELECT MAX Year FROM table WHERE Engine = cosworth v8 AND Chassis = hesketh 308e,"What is the latest year that has an engine of cosworth v8, with a chassis of hesketh 308e?"
SELECT Country FROM table WHERE Amount > 10000,Display the Country where Amount is greater than 10000
SELECT Desc Country FROM table WHERE Label = COMMON EQUITY,Show Desc Country where Label is COMMON EQUITY TIER 1 CAPITAL (net of deductions and after applying transitional adjustments)
SELECT Label FROM table WHERE Desc_country = Greece,What are the Label where Desc_country is Greece
SELECT Desc Country FROM table WHERE Label = OWN FUNDS,Show Desc Country where Label is OWN FUNDS
SELECT SUM Amount FROM table WHERE Name = bawag group,Display the  SUM of Amount where Name is BAWAG Group AG
SELECT Casualties FROM table WHERE Circumstances = ied,How many casualties were from the IED circumstance?
SELECT Desc_country FROM table WHERE Amount = 19655.05,what is desc_country where Amount is 19655.05
SELECT Desc Country FROM table WHERE Label = Financial assets at fair value through,Display Desc Country where Label is Financial assets at fair value through other comprehensive income
SELECT * FROM table WHERE Name = dekabank german Girozentrale,Display all values where Name is DekaBank Deutsche Girozentrale
SELECT Host Team FROM table WHERE Date = november 17,Who was the host team on November 17?
SELECT Name FROM table WHERE Period = 202012,What is the Name where Period is 202012
SELECT SUM Amount FROM table WHERE Name = landsbankinn,Return SUM of Amount where Name is Landsbankinn hf.
SELECT Country FROM table WHERE Item = 2121002,Get the country where Item is 2121002
SELECT SUM Amount FROM table WHERE Name = Investerings,Display the  SUM of Amount where Name is Investeringsmaatschappij Argenta
SELECT Reason for termination FROM table WHERE Chief Judge = 1971–1977,What is the reason the Chief Judge of 1971–1977 was terminated?
SELECT SUM Amount FROM table WHERE Name = nordea bank ab,Display the  SUM of Amount where Name is Nordea Bank Abp
SELECT Team FROM table WHERE Laps = 333,Name the team with Laps of 333
"SELECT * FROM table WHERE Name = Ibercaja Banco,","Display all values where Name is Ibercaja Banco, S.A."
SELECT NSA FROM table WHERE Period = 202013,What is NSA where period is 202013
SELECT Engine FROM table WHERE Chassis = march 90ca,What car has a March 90ca Chassis?
SELECT Finish construction FROM table WHERE Unit = greifswald - 4 (kgr 4),What was the date that construction was finished when the unit was greifswald - 4 (kgr 4)?
SELECT SUM Amount FROM table WHERE Name = raffeis,Display the  SUM of Amount where Name is Raiffeisenbankengruppe OÃ– Verbund eGen
SELECT AVG Top-5 FROM table WHERE Top-25 = 0 AND Wins < 0,"What is the average value for Top-5, when the value for Top-25 is 0, and the value for Wins is less than 0?"
SELECT Amount FROM table WHERE Label = TOTAL RISK EX,What is the Amount where Label is TOTAL RISK EXPOSURE AMOUNT
SELECT Occupation FROM table WHERE Residence = red bank,What job is at red bank?
SELECT Desc_country FROM table WHERE Amount = 19655.00,what is desc_country where Amount is 19655.00
SELECT Chassis FROM table WHERE Team = bms scuderia italia AND Tyres = g AND Engine = ferrari 037 3.5 v12,What Chassis did Team BMS Scuderia Italia use with G Tyres and a Ferrari 037 3.5 v12 engine?
SELECT Place FROM table WHERE Score < 69,WHich Places have a score smaller than 69?
SELECT SUM Amount FROM table WHERE Name = unicaja banco,"What is the SUM of Amount where Name is Unicaja Banco, S.A."
SELECT Country FROM table WHERE Item = 2121014,Get the country where Item is 2121014
SELECT Desc Country FROM table WHERE Label = Tier 2 Capital instruments,Locate the values Desc Country where Label is Tier 2 Capital instruments
SELECT Amount FROM table WHERE LEI_Code = 0W2PZJM8XOY22M4GG883,Value of Amount where LEI_Code is 0W2PZJM8XOY22M4GG883
SELECT SUM Amount FROM table WHERE Name = bank polska ,Display the  SUM of Amount where Name is Bank Polska Kasa Opieki S.A.
SELECT SUM Amount FROM table WHERE Name = unicaja banco,"Display the  SUM of Amount where Name is Unicaja Banco, S.A."
SELECT Points FROM table WHERE Year > 1972 AND Entrant = marlboro team alfa romeo,"After 1972, how many points did Marlboro Team Alfa Romeo have?"
SELECT SUM Amount FROM table WHERE Name = aLPHA SERVICES,Display the  SUM of Amount where Name is ALPHA SERVICES AND HOLDINGS S.A.
SELECT Rookie of the Year FROM table WHERE Season = 2000,Who was the Rookie of the Year for the Season in 2000?
SELECT SUM Amount FROM table WHERE Name = precision capital s.,What is the SUM of Amount where Name is Precision Capital S.A.
SELECT Desc Country FROM table WHERE Label = Transitional adjustments,What is the Desc Country where Label is Transitional adjustments
SELECT SUM Amount FROM table WHERE Name = lsf ,Return SUM of Amount where Name is LSF Nani Investments S.Ã  r.l.
SELECT SUM Amount FROM table WHERE Name = bank of valletta,What is the SUM of Amount where Name is Bank of Valletta Plc
SELECT SUM Amount FROM table WHERE Name = Volkswagen Bank Gesellschaft mit Be,Display the  SUM of Amount where Name is Volkswagen Bank Gesellschaft mit beschrÃ¤nkter Haftung
SELECT State FROM table WHERE Reason for termination = retirement AND Active service = 1926–1928,"Which state has a Reason for termination of retirement, and an Active service of 1926–1928?"
SELECT Amount FROM table WHERE LEI_Code = 0W2PZJM8XOY22M4GG885,Value of Amount where LEI_Code is 0W2PZJM8XOY22M4GG885
SELECT SUM Amount FROM table WHERE Name = akcine bendro,What is the SUM of Amount where Name is Akcine bendrove Å iauliu bankas.
SELECT Country FROM table WHERE Item = 2121011,Get the country where Item is 2121011
SELECT SUM Amount FROM table WHERE Name = bank polska ,Return SUM of Amount where Name is Bank Polska Kasa Opieki S.A.
SELECT MAX First Elected FROM table WHERE District = 06.0 6 AND Committee = economic matters,"What is the Highest first elected year that has a district of 06.0 6, and a committee of economic matters?"
SELECT SUM Amount FROM table WHERE Name = Erwerbsgesellschaft der S,What is the SUM of Amount where Name is Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG
SELECT SUM Amount FROM table WHERE Name = rbc investor,Display the  SUM of Amount where Name is RBC Investor Services Bank S.A.
SELECT Place FROM table WHERE Score > 68 AND Player = camilo villegas,"What place has a score greater than 68, and camilo villegas as the player?"
